puhoc ,prefLabel ,ysoLinkLab ,ysoBroaderLab 
http://www.yso.fi/onto/puho/ph1954 ,sotatieteet ,tieteet (erikoisalat) ,järjestelmät 
http://www.yso.fi/onto/puho/ph1954 ,sotatieteet ,tieteet (erikoisalat) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1975 ,sotilaspolitiikka ,politiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1975 ,sotilaspolitiikka ,politiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1976 ,sotilaspedagogiikka ,pedagogiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1976 ,sotilaspedagogiikka ,pedagogiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1978 ,sotilassosiologia ,sosiologia ,järjestelmät 
http://www.yso.fi/onto/puho/ph1978 ,sotilassosiologia ,sosiologia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph2 ,kokoontumisvapaus ,perusoikeudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph2 ,kokoontumisvapaus ,perusoikeudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph20 ,kansalaisvelvollisuudet ,velvollisuudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph20 ,kansalaisvelvollisuudet ,velvollisuudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph2005 ,puolustusvoimien toimialat ,toimialat ,järjestelmät 
http://www.yso.fi/onto/puho/ph2005 ,puolustusvoimien toimialat ,toimialat ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph2046 ,viihdytysjoukot ,viihde ,muu rooli 
http://www.yso.fi/onto/puho/ph2046 ,viihdytysjoukot ,viihde ,ominaisuudet 
http://www.yso.fi/onto/puho/ph2046 ,viihdytysjoukot ,viihde ,rooli (tehtävä) 
http://www.yso.fi/onto/puho/ph2051 ,avaruuden sotilaallinen käyttö ,avaruustekniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph2051 ,avaruuden sotilaallinen käyttö ,avaruustekniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph206 ,soveltuvuustestit ,psykologiset testit ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph2066 ,operaatioalue ,operaatiot ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph207 ,testit ,kokeet ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph211 ,tietoturvallisuus ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph215 ,ydinkokeet ,asekokeet ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph216 ,varustautuminen ,omistuksen siirtäminen ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph2167 ,ennaltaehkäisykyky ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph220 ,suurvaltapolitiikka ,kansainvälinen politiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph220 ,suurvaltapolitiikka ,kansainvälinen politiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph2250 ,strateginen kumppanuus ,kumppanuus ,ominaisuudet 
http://www.yso.fi/onto/puho/ph2288 ,Puolustusvoimien prosessit ,prosessit ,tapahtumat 
http://www.yso.fi/onto/puho/ph2361 ,kriittinen infrastruktuuri ,infrastruktuurit ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph247 ,arkistotoimi ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph247 ,arkistotoimi ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph251 ,kirjastotoimi ,sivistystoimi ,järjestelmät 
http://www.yso.fi/onto/puho/ph251 ,kirjastotoimi ,sivistystoimi ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph252 ,asiakirjahallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph252 ,asiakirjahallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph257 ,lentomelu ,liikennemelu ,haitat 
http://www.yso.fi/onto/puho/ph257 ,lentomelu ,liikennemelu ,muu rooli 
http://www.yso.fi/onto/puho/ph257 ,lentomelu ,liikennemelu ,ominaisuudet 
http://www.yso.fi/onto/puho/ph257 ,lentomelu ,liikennemelu ,rooli (tehtävä) 
http://www.yso.fi/onto/puho/ph257 ,lentomelu ,liikennemelu ,vaikutukset 
http://www.yso.fi/onto/puho/ph258 ,melu ,fysikaaliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph261 ,yhteiskunnan haavoittuvuus ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph266 ,sähködynamiikka ,dynamiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph266 ,sähködynamiikka ,sähköoppi ,järjestelmät 
http://www.yso.fi/onto/puho/ph266 ,sähködynamiikka ,dynamiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph266 ,sähködynamiikka ,sähköoppi ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph267 ,dynamiikka ,mekaniikka ,järjestelmät 
